subject_id,session_id,feature_type,dataset,class
S01,SS_03,Cropped,usi,<class 'bdb.BdbQuit'>
S01,SS_04,Cropped,usi,<class 'bdb.BdbQuit'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S03,SS_03,Nightly,usi,<class 'pandas.errors.EmptyDataError'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S10,SS_10,Nightly,usi,<class 'Exception'>
S08,SS_03,Nightly,usi,<class 'KeyboardInterrupt'>
S08,SS_02,Nightly,usi,<class 'KeyboardInterrupt'>
S08,SS_03,Nightly,usi,<class 'KeyboardInterrupt'>
S10,SS_07,Nightly,usi,<class 'KeyboardInterrupt'>
S09,SS_05,Nightly,usi,<class 'KeyboardInterrupt'>
